year,territory,territory_order,territory_type,tenure_regime,num_main_homes
2021,el Putxet i el Farró,27,Barri,Rent,4563.0
2021,"Sant Pere, Santa Caterina i la Ribera",4,Barri,Other,1068.0
2021,Can Baró,34,Barri,Other,276.0
2021,"Sant Pere, Santa Caterina i la Ribera",4,Barri,Rent,4896.0
2021,Sant Andreu,9,Districte,Other,4248.0
2021,el Turó de la Peira,46,Barri,Other,495.0
2021,la Trinitat Nova,53,Barri,Rent,759.0
2021,Sarrià,23,Barri,Ownership,5145.0
2021,la Trinitat Nova,53,Barri,Ownership,1971.0
2021,la Sagrera,61,Barri,Other,891.0
2021,Vallcarca i els Penitents,28,Barri,Other,537.0
2021,les Corts,19,Barri,Other,1449.0
2021,Sants-Montjuïc,3,Districte,Ownership,46995.0
2021,el Carmel,37,Barri,Ownership,8628.0
2021,la Teixonera,38,Barri,Rent,1404.0
2021,les Roquetes,50,Barri,Rent,1740.0
2021,el Poblenou,68,Barri,Other,951.0
2021,la Clota,42,Barri,Ownership,111.0
2021,Horta-Guinardó,7,Districte,Ownership,45852.0
2021,la Trinitat Vella,57,Barri,Rent,1086.0
2021,Verdun,51,Barri,Ownership,3411.0
2021,Baró de Viver,58,Barri,Rent,273.0
2021,Gràcia,6,Districte,Other,4434.0
2021,Verdun,51,Barri,Other,390.0
2021,Montbau,40,Barri,Rent,528.0
2021,Can Peguera,47,Barri,Rent,474.0
2021,Sarrià-Sant Gervasi,5,Districte,Other,4992.0
2021,la Marina de Port,13,Barri,Ownership,8613.0
2021,la Vall d'Hebron,41,Barri,Other,162.0
2021,el Clot,65,Barri,Other,750.0
2021,el Guinardó,35,Barri,Ownership,9720.0
2021,Sants,18,Barri,Rent,5730.0
2021,la Vila de Gràcia,31,Barri,Other,2061.0
2021,Montbau,40,Barri,Other,156.0
2021,Sants - Badal,17,Barri,Ownership,6585.0
2021,Eixample,2,Districte,Rent,40074.0
2021,el Congrés i els Indians,62,Barri,Other,480.0
2021,el Barri Gòtic,2,Barri,Ownership,2523.0
2021,la Sagrada Família,6,Barri,Ownership,13122.0
2021,les Roquetes,50,Barri,Other,450.0
2021,les Roquetes,50,Barri,Ownership,4113.0
2021,la Verneda i la Pau,73,Barri,Rent,2109.0
2021,Montbau,40,Barri,Ownership,1401.0
2021,Sant Genís dels Agudells,39,Barri,Other,264.0
2021,la Nova Esquerra de l'Eixample,9,Barri,Rent,8046.0
2021,Eixample,2,Districte,Ownership,63906.0
2021,la Dreta de l'Eixample,7,Barri,Rent,7395.0
2021,Torre Baró,54,Barri,Other,75.0
2021,la Sagrada Família,6,Barri,Other,1731.0
2021,Sants,18,Barri,Ownership,10284.0
2021,Hostafrancs,15,Barri,Rent,2337.0
2021,Sarrià-Sant Gervasi,5,Districte,Rent,19101.0
2021,Navas,63,Barri,Rent,2460.0
2021,el Besòs i el Maresme,70,Barri,Rent,2313.0
2021,Provençals del Poblenou,71,Barri,Rent,1917.0
2021,la Font d'en Fargues,36,Barri,Other,219.0
2021,el Congrés i els Indians,62,Barri,Rent,1509.0
2021,Vallcarca i els Penitents,28,Barri,Rent,2163.0
2021,Can Peguera,47,Barri,Ownership,330.0
2021,Ciutat Vella,1,Districte,Rent,20217.0
2021,Sant Martí,10,Districte,Rent,24591.0
2021,el Parc i la Llacuna del Poblenou,66,Barri,Other,537.0
2021,Sant Martí,10,Districte,Other,6819.0
2021,Sant Martí,10,Districte,Ownership,64890.0
2021,el Raval,1,Barri,Ownership,7056.0
2021,el Coll,29,Barri,Rent,999.0
2021,la Prosperitat,52,Barri,Other,708.0
2021,Vilapicina i la Torre Llobeta,44,Barri,Other,741.0
2021,el Coll,29,Barri,Other,261.0
2021,Sant Gervasi - Galvany,26,Barri,Ownership,10689.0
2021,Sants - Badal,17,Barri,Rent,3015.0
2021,Gràcia,6,Districte,Rent,18519.0
2021,la Trinitat Vella,57,Barri,Other,267.0
2021,"Sant Pere, Santa Caterina i la Ribera",4,Barri,Ownership,4029.0
2021,el Camp d'en Grassot i Gràcia Nova,32,Barri,Other,1173.0
2021,la Font d'en Fargues,36,Barri,Ownership,2823.0
2021,Horta,43,Barri,Rent,2841.0
2021,Nou Barris,8,Districte,Ownership,45504.0
2021,la Marina de Port,13,Barri,Rent,2703.0
2021,el Carmel,37,Barri,Other,984.0
2021,la Marina del Prat Vermell,12,Barri,Other,48.0
2021,la Bordeta,16,Barri,Rent,1893.0
2021,Vilapicina i la Torre Llobeta,44,Barri,Rent,2766.0
2021,el Baix Guinardó,33,Barri,Other,825.0
2021,Provençals del Poblenou,71,Barri,Ownership,5820.0
2021,Porta,45,Barri,Other,738.0
2021,Sant Martí de Provençals,72,Barri,Other,735.0
2021,la Font de la Guatlla,14,Barri,Rent,1260.0
2021,la Maternitat i Sant Ramon,20,Barri,Rent,2589.0
2021,el Besòs i el Maresme,70,Barri,Ownership,5679.0
2021,Sant Andreu,9,Districte,Rent,15627.0
2021,la Trinitat Vella,57,Barri,Ownership,2352.0
2021,Sant Gervasi - la Bonanova,25,Barri,Ownership,5343.0
2021,Sant Gervasi - la Bonanova,25,Barri,Other,831.0
2021,la Trinitat Nova,53,Barri,Other,261.0
2021,Can Peguera,47,Barri,Other,93.0
2021,el Poble-sec,11,Barri,Rent,5925.0
2021,Verdun,51,Barri,Rent,1551.0
2021,Ciutat Vella,1,Districte,Ownership,16611.0
2021,la Nova Esquerra de l'Eixample,9,Barri,Other,1968.0
2021,el Barri Gòtic,2,Barri,Other,738.0
2021,Baró de Viver,58,Barri,Ownership,666.0
