year,territory,territory_order,territory_type,occupancy_status,num_housing_units
2021,Verdun,51,Neighbourhood,Not main,513.0
2021,la Dreta de l'Eixample,7,Neighbourhood,Main,18525.0
2021,la Marina de Port,13,Neighbourhood,Not main,1272.0
2021,el Carmel,37,Neighbourhood,Main,13401.0
2021,la Trinitat Nova,53,Neighbourhood,Not main,783.0
2021,el Turó de la Peira,46,Neighbourhood,Not main,579.0
2021,el Bon Pastor,59,Neighbourhood,Main,4662.0
2021,Hostafrancs,15,Neighbourhood,Main,6801.0
2021,les Tres Torres,24,Neighbourhood,Main,5619.0
2021,la Vila de Gràcia,31,Neighbourhood,Main,22665.0
2021,Canyelles,49,Neighbourhood,Main,2775.0
2021,Barcelona,1,Municipality,Not main,137601.0
2021,la Verneda i la Pau,73,Neighbourhood,Not main,1524.0
2021,Sant Martí de Provençals,72,Neighbourhood,Main,10731.0
2021,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Main,6534.0
2021,Navas,63,Neighbourhood,Not main,867.0
2021,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Not main,4578.0
2021,el Raval,1,Neighbourhood,Main,17841.0
2021,la Maternitat i Sant Ramon,20,Neighbourhood,Not main,1881.0
2021,la Vila Olímpica del Poblenou,67,Neighbourhood,Main,3552.0
2021,Les Corts,4,District,Main,33258.0
2021,el Coll,29,Neighbourhood,Main,3213.0
2021,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Main,18303.0
2021,Barcelona,1,Municipality,Main,671139.0
2021,Ciutat Meridiana,55,Neighbourhood,Main,3852.0
2021,Can Baró,34,Neighbourhood,Not main,519.0
2021,Ciutat Meridiana,55,Neighbourhood,Not main,114.0
2021,la Font d'en Fargues,36,Neighbourhood,Not main,585.0
2021,Sant Martí,10,District,Main,96336.0
2021,el Camp de l'Arpa del Clot,64,Neighbourhood,Main,16671.0
2021,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Not main,558.0
2021,Sarrià-Sant Gervasi,5,District,Main,56874.0
2021,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Main,1611.0
2021,la Vall d'Hebron,41,Neighbourhood,Main,2325.0
2021,Gràcia,6,District,Main,53214.0
