year,territory,territory_order,territory_type,main_use_destination,num_premises
2009,Sant Gervasi- Galvany,26,Neighbourhood,Other,92.0
2009,Les Corts,4,District,Education and culture,843.0
2009,Can Baró,34,Neighbourhood,Industry,425.0
2009,Sarrià-Sant Gervasi,5,District,Religious,503.0
2009,Sant Andreu,60,Neighbourhood,Healthcare,62.0
2009,Horta-Guinardó,7,District,Other,36.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Other,5.0
2009,la Salut,30,Neighbourhood,Sports,31.0
2009,la Prosperitat,52,Neighbourhood,Other,2.0
2009,el Poble Sec,11,Neighbourhood,Entertainment,38.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Sports,58.0
2009,el Raval,1,Neighbourhood,Entertainment,79.0
2009,la Font d'en Fargues,36,Neighbourhood,Commerce,209.0
2009,Sant Antoni,10,Neighbourhood,Commerce,3054.0
2009,Vallbona,56,Neighbourhood,Education and culture,6.0
2009,el Poblenou,68,Neighbourhood,Commerce,1572.0
2009,el Raval,1,Neighbourhood,Sports,23.0
2009,Les Corts,4,District,Sports,361.0
2009,Provençals del Poblenou,71,Neighbourhood,Religious,4.0
2009,el Raval,1,Neighbourhood,Other,30.0
2009,la Teixonera,38,Neighbourhood,Parking,2212.0
2009,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Sports,6.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Other,14.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Commerce,176.0
2009,Sant Andreu,9,District,Commerce,7126.0
2009,Montbau,40,Neighbourhood,Tourism and hospitality,15.0
2009,Les Corts,4,District,Industry,3329.0
2009,Sants,18,Neighbourhood,Parking,8669.0
2009,Sants-Badal,17,Neighbourhood,Offices,166.0
2009,Gràcia,6,District,Parking,22429.0
2009,la Maternitat i Sant Ramon,20,Neighbourhood,Housing,11538.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Healthcare,7.0
2009,Sarrià,23,Neighbourhood,Commerce,1220.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Offices,93.0
2009,la Marina del Prat Vermell,12,Neighbourhood,Offices,483.0
2009,Sarrià-Sant Gervasi,5,District,Sports,963.0
2009,el Putxet i el Farró,27,Neighbourhood,Other,3.0
2009,Ciutat Meridiana,55,Neighbourhood,Religious,8.0
2009,Horta,43,Neighbourhood,Religious,82.0
2009,les Tres Torres,24,Neighbourhood,Industry,1078.0
2009,la Maternitat i Sant Ramon,20,Neighbourhood,Offices,408.0
2009,la Salut,30,Neighbourhood,Parking,3301.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Industry,124.0
2009,Horta,43,Neighbourhood,Offices,92.0
2009,el Fort Pienc,5,Neighbourhood,Housing,15432.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Other,70.0
2009,Sants,18,Neighbourhood,Religious,19.0
2009,la Vila Olímpica del Poblenou,67,Neighbourhood,Sports,20.0
2009,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Commerce,423.0
2009,Horta,43,Neighbourhood,Housing,13427.0
2009,la Verneda i la Pau,73,Neighbourhood,Religious,10.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Industry,558.0
2009,Canyelles,49,Neighbourhood,Tourism and hospitality,2.0
2009,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Education and culture,120.0
2009,el Fort Pienc,5,Neighbourhood,Healthcare,17.0
2009,Sant Martí de Provençals,72,Neighbourhood,Sports,30.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Parking,9042.0
2009,Torre Baró,54,Neighbourhood,Other,4.0
2009,la Marina de Port,13,Neighbourhood,Healthcare,22.0
2009,la Trinitat Nova,53,Neighbourhood,Housing,3679.0
2009,Sants-Badal,17,Neighbourhood,Other,10.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Education and culture,407.0
2009,la Verneda i la Pau,73,Neighbourhood,Housing,13116.0
2009,Ciutat Vella,1,District,Sports,51.0
2009,el Baix Guinardó,33,Neighbourhood,Other,16.0
2009,el Poble Sec,11,Neighbourhood,Healthcare,39.0
2009,Sant Martí de Provençals,72,Neighbourhood,Healthcare,21.0
