district_code,longitude,staircase,number_type,building_entrance,street_type,street_number_start,street_number_end,district_name,neighbourhood_name,generalitat_register_number,floor,door,letter2,number_of_places,expedient_number,letter1,latitude,block,street_name,neighbourhood_code,id
02,"2,15110111629556",,2,,Avinguda,204,,L'EIXAMPLE,Sant Antoni,HUTB-005213,AT,A,,5,02-2013-0201,,"41,3752496928127",,PARAL.LEL,10,2775
02,"2,16538345175716",,1,,Rambla,31,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005122,2,1,,11,02-2013-0202,,"41,3894611758809",,CATALUNYA,07,2776
02,"2,166628036818",,2,,Gran Via,620,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005143,03,1C,,6,02-2013-0203,,"41,3878527097083",,CORTS CATALANES,07,2777
02,"2,17566370969755",,1,,Carrer,175,,L'EIXAMPLE,la Sagrada Família,HUTB-005185,02,2,,4,02-2013-0207,,"41,4106254909934",,INDUSTRIA,06,2778
02,"2,17566370969755",,1,,Carrer,175,,L'EIXAMPLE,la Sagrada Família,HUTB-005186,02,1,,4,02-2013-0208,,"41,4106254909934",,INDUSTRIA,06,2779
02,"2,17566370969755",,1,,Carrer,175,,L'EIXAMPLE,la Sagrada Família,HUTB-005187,04,1,,4,02-2013-0210,,"41,4106254909934",,INDUSTRIA,06,2780
02,"2,17566370969755",,1,,Carrer,175,,L'EIXAMPLE,la Sagrada Família,HUTB-005188,04,2,,4,02-2013-0212,,"41,4106254909934",,INDUSTRIA,06,2781
02,"2,17706788488882",,1,,Carrer,259,,L'EIXAMPLE,la Sagrada Família,HUTB-005191,05,2,,5,02-2013-0219,,"41,4040011004719",,LEPANT,06,2782
02,"2,16897978358617",,2,,Gran Via,634,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005144,09,1,,11,02-2013-0220,,"41,3896154727794",,CORTS CATALANES,07,2783
02,"2,1680407608952",,1,,Rambla,1,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005121,05,2,,15,02-2013-0224,,"41,3875152881385",,CATALUNYA,07,2784
02,"2,17256559436174",,2,,Carrer,332,,L'EIXAMPLE,la Sagrada Família,HUTB-005251,3,2,,5,02-2013-0226,,"41,4041048410305",,SARDENYA,06,2785
02,"2,17514621866005",,1,,Carrer,169,,L'EIXAMPLE,la Sagrada Família,HUTB-005184,03,1,,3,02-2013-0229,,"41,4102576818708",,INDUSTRIA,06,2786
02,"2,14970598919424",,1,,Carrer,163,169,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005140,04,1D,,4,02-2013-0230,,"41,3894117126908",,CORSEGA,08,2787
02,"2,17102384451149",,2,,Gran Via,662,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005145,05,2B,,4,02-2013-0231,,"41,3911589533629",,CORTS CATALANES,07,2788
02,"2,17102384451149",,2,,Gran Via,662,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005146,05,2A,,3,02-2013-0232,,"41,3911589533629",,CORTS CATALANES,07,2789
02,"2,16479224902981",,2,,Passeig,58,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005178,AT,2,,6,02-2013-0233,,"41,3926691688457",,GRACIA,07,2790
02,"2,17515118389432",,2,,Carrer,300,,L'EIXAMPLE,la Sagrada Família,HUTB-005192,1,2,,4,02-2013-0236,,"41,4057315487666",,LEPANT,06,2791
02,"2,15411877838232",,1,,Carrer,151,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005131,01,1,,4,02-2013-0240,,"41,3825077631956",,CONSELL DE CENT,09,2792
02,"2,17925568790136",,2,,Carrer,212,,L'EIXAMPLE,el Fort Pienc,HUTB-005199,5,3,,10,02-2013-0244,,"41,4010415539495",,MARINA,05,2793
02,"2,17412175516487",,2,,Avinguda,336,,L'EIXAMPLE,la Sagrada Família,HUTB-005149,7,1,,7,02-2013-0245,,"41,4004392459692",,DIAGONAL,06,2794
02,"2,17601434993305",A,2,,Carrer,82,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005119,04,3,,7,02-2013-0246,,"41,3932081210736",,CASP,07,2795
02,"2,17423597857251",,1,,Avinguda,37,,L'EIXAMPLE,la Sagrada Família,HUTB-005172,4,4,,5,02-2013-0247,,"41,4069865898743",,GAUDI,06,2796
02,"2,17691436989399",D,1,,Carrer,419,,L'EIXAMPLE,la Sagrada Família,HUTB-005195,02,5,,7,02-2013-0250,,"41,4047498845978",,MALLORCA,06,2797
02,"2,185169797902",,2,,Carrer,124,,L'EIXAMPLE,el Fort Pienc,HUTB-005197,01,4,,7,02-2013-0254,,"41,3964454037687",,MARINA,05,2798
02,"2,185169797902",,2,,Carrer,124,,L'EIXAMPLE,el Fort Pienc,HUTB-005198,01,1,,5,02-2013-0256,,"41,3964454037687",,MARINA,05,2799
02,"2,16626746840423",,1,,Carrer,7,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005215,01,G,,4,02-2013-0259,,"41,3858775790561",,PELAI,07,2800
02,"2,17837188682286",,2,,Passeig,32,,L'EIXAMPLE,el Fort Pienc,HUTB-005241,03,2,,7,02-2013-0261,,"41,3930826793332",,SANT JOAN,05,2801
02,"2,16322339920655",,1,,Carrer,315,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005132,02,1,,10,02-2013-0267,,"41,3893675726104",,CONSELL DE CENT,07,2802
02,"2,17567531027998",,1,,Carrer,261,,L'EIXAMPLE,la Sagrada Família,HUTB-005250,04,1,,6,02-2013-0268,,"41,401477592093",,SARDENYA,06,2803
02,"2,17378225239281",,1,,Carrer,5,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005078,AT,2,,7,02-2013-0271,,"41,3901089719426",,AUSIAS MARC,07,2804
02,"2,16628504061129",,1,,Avinguda,347,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005150,05,1,,13,02-2013-0278,,"41,3979807539293",,DIAGONAL,07,2805
02,"2,16057303453498",,2,,Carrer,8,12,L'EIXAMPLE,Sant Antoni,HUTB-005092,05,3,,4,02-2013-0280,,"41,3756479543572",,CALABRIA,10,2806
02,"2,17424227969019",,1,,Avinguda,27,29,L'EIXAMPLE,la Sagrada Família,HUTB-005171,4,4,,7,02-2013-0282,,"41,4065796590576",,GAUDI,06,2807
02,"2,18070963563664",,2,,Carrer,222,,L'EIXAMPLE,el Fort Pienc,HUTB-005190,PR,1,,5,02-2013-0283,,"41,4015047859406",,LEPANT,05,2808
02,"2,17715169292392",,2,,Carrer,240,,L'EIXAMPLE,la Sagrada Família,HUTB-005200,PR,1,,3,02-2013-0284,,"41,402559447921",,MARINA,06,2809
02,"2,1616885560152",,1,,Carrer,235,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005256,01,1,,10,02-2013-0285,,"41,3916046552579",,VALENCIA,07,2810
02,"2,16277866465849",A,2,,Carrer,250,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005064,02,2,,6,02-2013-0286,,"41,3903822305305",,ARAGO,07,2811
02,"2,16841483484759",,2,,Carrer,334,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005258,05,1,,6,02-2013-0289,,"41,3963923371926",,VALENCIA,07,2812
02,"2,16841483484759",,2,,Carrer,334,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005259,05,3,,4,02-2013-0290,,"41,3963923371926",,VALENCIA,07,2813
02,"2,15584005105961",,2,,Carrer,124,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005068,04,1,,5,02-2013-0291,,"41,3911656919909",,ARIBAU,08,2814
02,"2,15977855193688",,1,,Carrer,207,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005063,5,1,,5,02-2013-0294,,"41,388530793678",,ARAGO,08,2815
02,"2,17386381460456",,1,,Carrer,435,,L'EIXAMPLE,la Sagrada Família,HUTB-005217,06,2,,5,02-2013-0297,,"41,4041651163064",,PROVENÇA,06,2816
02,"2,16336782250629",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-005214,4,2,,7,02-2013-0299,,"41,3771973716637",,PARLAMENT,10,2817
02,"2,15333011991839",,1,,Carrer,155,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005069,03,4,,4,02-2013-0300,,"41,3927844622542",,ARIBAU,08,2818
02,"2,16146502503048",,2,,Carrer,244,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005235,4,2,,7,02-2013-0301,,"41,3962879071138",,ROSSELLO,07,2819
02,"2,15637433215573",,1,,Carrer,101,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005116,AT,1,,12,02-2013-0304,,"41,3870774655825",,CASANOVA,08,2820
02,"2,16505233674332",,2,,Carrer,26,,L'EIXAMPLE,Sant Antoni,HUTB-005201,04,4,,5,02-2013-0309,,"41,3764096756353",,MARQUES DE CAMPO SAGRADO,10,2821
02,"2,17925568790136",,2,,Carrer,212,,L'EIXAMPLE,el Fort Pienc,HUTB-011743,02,2,,10,02-2014-1399,,"41,4010415539495",,MARINA,05,4715
02,"2,15663817901384",,1,,Carrer,95,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005207,01,1,,15,02-2013-0310,,"41,3885787261069",,MUNTANER,08,2822
02,"2,17328912367259",,2,,Gran Via,686,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005147,EN,1,,15,02-2013-0317,,"41,3928599700077",,CORTS CATALANES,07,2823
02,"2,17414275400838",,1,,Carrer,13,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005079,03,5,,6,02-2013-0318,,"41,3903757952103",,AUSIAS MARC,07,2824
02,"2,18129234096894",,1,,Carrer,13,,L'EIXAMPLE,el Fort Pienc,HUTB-005229,EN,1,,6,02-2013-0319,,"41,3934650758205",,RIBES,05,2825
02,"2,15928517944729",,2,,Carrer,60,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005067,PR,2,,11,02-2013-0321,,"41,3885635982278",,ARIBAU,08,2826
02,"2,17509477245129",,1,,Carrer,285,287,L'EIXAMPLE,la Sagrada Família,HUTB-005208,04,1,,7,02-2013-0323,,"41,407146697232",,PADILLA,06,2827
02,"2,16591160824709",,2,,Carrer,284,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005065,05,2D,,7,02-2013-0324,B,"41,3927410527043",,ARAGO,07,2828
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-036743,01,1,,4,02-2013-0326,,"41,3770766229269",,COMTE BORRELL,10,2829
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-036803,01,2,,4,02-2013-0327,,"41,3770766229269",,COMTE BORRELL,10,2830
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-036805,PR,2,,4,02-2013-0328,,"41,3770766229269",,COMTE BORRELL,10,2831
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-036804,PR,1,,4,02-2013-0329,,"41,3770766229269",,COMTE BORRELL,10,2832
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-005314,03,1,,4,02-2013-0331,,"41,3770766229269",,COMTE BORRELL,10,2833
