territory,territory_order,territory_type,average_rent_price,year_quarter
Sant Andreu,60,Neighbourhood,751.949225806452,2017Q4
la Font de la Guatlla,14,Neighbourhood,827.357808219178,2017Q4
Verdun,51,Neighbourhood,600.367878787879,2017Q4
Horta,43,Neighbourhood,708.884039735099,2017Q4
la Guineueta,48,Neighbourhood,693.396363636364,2017Q4
les Roquetes,50,Neighbourhood,565.182112676056,2017Q4
les Tres Torres,24,Neighbourhood,1588.52631578947,2017Q4
la Vila Olímpica del Poblenou,67,Neighbourhood,1349.81690140845,2017Q4
Catalunya,-1,Autonomous Community,675.30666116104,2017Q4
la Trinitat Vella,57,Neighbourhood,535.9175,2017Q4
Porta,45,Neighbourhood,682.828255033557,2017Q4
el Bon Pastor,59,Neighbourhood,576.9675,2017Q4
Vilapicina i la Torre Llobeta,44,Neighbourhood,723.344244186047,2017Q4
Les Corts,4,District,1060.76262068966,2017Q4
Sant Gervasi - la Bonanova,25,Neighbourhood,1198.23600896861,2017Q4
Ciutat Meridiana,55,Neighbourhood,425.511764705882,2017Q4
la Salut,30,Neighbourhood,741.293129251701,2017Q4
el Carmel,37,Neighbourhood,609.105025906736,2017Q4
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1081.29126893939,2017Q4
Sarrià,23,Neighbourhood,1334.77324742268,2017Q4
el Putxet i el Farró,27,Neighbourhood,938.201487603306,2017Q4
la Maternitat i Sant Ramon,20,Neighbourhood,935.379775280899,2017Q4
el Guinardó,35,Neighbourhood,759.059706840391,2017Q4
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,760.230922619048,2017Q4
Canyelles,49,Neighbourhood,656.153846153846,2017Q4
Eixample,2,District,1004.78504335761,2017Q4
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1164.84252747253,2018Q1
Hostafrancs,15,Neighbourhood,754.834761904762,2018Q1
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1069.16498161765,2018Q1
la Teixonera,38,Neighbourhood,701.687525423729,2018Q1
Catalunya,-1,Autonomous Community,698.364582585605,2018Q1
Sant Martí,10,District,858.587754010695,2018Q1
la Bordeta,16,Neighbourhood,801.444311111111,2018Q1
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,908.889400887574,2018Q1
Sants-Montjuïc,3,District,803.737510833767,2018Q1
Sant Andreu,60,Neighbourhood,744.819482758621,2018Q1
el Bon Pastor,59,Neighbourhood,658.631764705882,2018Q1
la Marina de Port,13,Neighbourhood,751.645267857143,2018Q1
Vallcarca i els Penitents,28,Neighbourhood,925.018096085409,2018Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,995.219584352078,2018Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,783.503994413408,2018Q1
el Poblenou,68,Neighbourhood,961.731986940299,2018Q1
Sant Genís dels Agudells,39,Neighbourhood,656.128372093023,2018Q1
el Besòs i el Maresme,70,Neighbourhood,682.316964285714,2018Q1
Ciutat Meridiana,55,Neighbourhood,507.157894736842,2018Q1
Pedralbes,21,Neighbourhood,1799.90763888889,2018Q1
Sants - Badal,17,Neighbourhood,764.412356020942,2018Q1
la Barceloneta,3,Neighbourhood,870.84347826087,2018Q1
la Salut,30,Neighbourhood,877.297904040404,2018Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,923.440537313433,2018Q1
Horta,43,Neighbourhood,748.190191082803,2018Q1
Provençals del Poblenou,71,Neighbourhood,948.796434977579,2018Q1
les Roquetes,50,Neighbourhood,602.082592592593,2018Q1
el Guinardó,35,Neighbourhood,736.795371024735,2018Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,1285.61421336207,2018Q1
Sant Andreu,9,District,736.35018134715,2018Q1
Vallcarca i els Penitents,28,Neighbourhood,886.267857142857,2018Q1
Pedralbes,21,Neighbourhood,1739.59570815451,2018Q1
Sant Andreu,9,District,762.711232876712,2018Q1
la Trinitat Nova,53,Neighbourhood,580.84608,2018Q1
la Clota,42,Neighbourhood,500.422857142857,2018Q1
la Font d'en Fargues,36,Neighbourhood,824.117647058824,2018Q1
la Teixonera,38,Neighbourhood,690.807692307692,2018Q1
el Barri Gòtic,2,Neighbourhood,998.400465116279,2018Q1
el Poblenou,68,Neighbourhood,913.294889705882,2018Q1
Eixample,2,District,994.843166550035,2018Q1
la Vall d'Hebron,41,Neighbourhood,859.76,2018Q1
el Putxet i el Farró,27,Neighbourhood,946.649252669039,2018Q1
la Trinitat Nova,53,Neighbourhood,592.727272727273,2018Q1
Les Corts,4,District,1095.7838619403,2018Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,972.069013006886,2018Q1
el Fort Pienc,5,Neighbourhood,950.324785894207,2018Q1
el Carmel,37,Neighbourhood,644.339896373057,2018Q1
les Roquetes,50,Neighbourhood,605.414078947368,2018Q1
la Maternitat i Sant Ramon,20,Neighbourhood,973.55210755814,2018Q1
Gràcia,6,District,881.113568657874,2018Q1
el Fort Pienc,5,Neighbourhood,910.529967948718,2018Q1
Hostafrancs,15,Neighbourhood,796.270510835913,2018Q1
Montbau,40,Neighbourhood,737.831168831169,2018Q1
Canyelles,49,Neighbourhood,716.552352941176,2018Q1
Ciutat Meridiana,55,Neighbourhood,506.43661971831,2018Q1
Baró de Viver,58,Neighbourhood,621.0125,2018Q1
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,884.553611940299,2018Q1
Sant Andreu,60,Neighbourhood,764.827184542587,2018Q1
el Coll,29,Neighbourhood,740.363452914798,2018Q1
el Guinardó,35,Neighbourhood,771.482434944238,2018Q1
Sant Gervasi - Galvany,26,Neighbourhood,1310.42049875312,2018Q1
el Clot,65,Neighbourhood,774.317222222222,2018Q1
Sant Antoni,10,Neighbourhood,934.343260582011,2018Q1
Can Peguera,47,Neighbourhood,439.632857142857,2018Q1
Sant Martí,10,District,884.507314458033,2018Q1
la Nova Esquerra de l'Eixample,9,Neighbourhood,947.922685185185,2018Q1
la Maternitat i Sant Ramon,20,Neighbourhood,948.765255474452,2018Q1
el Coll,29,Neighbourhood,741.2265,2018Q1
la Guineueta,48,Neighbourhood,685.054285714286,2018Q1
la Verneda i la Pau,73,Neighbourhood,715.369879518072,2018Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,1272.25793103448,2018Q1
Sant Genís dels Agudells,39,Neighbourhood,648.095238095238,2018Q1
Sants - Badal,17,Neighbourhood,784.544033290653,2018Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,1247.69504464286,2018Q1
Sant Martí de Provençals,72,Neighbourhood,751.475153846154,2018Q1
Navas,63,Neighbourhood,790.199014084507,2018Q1
Navas,63,Neighbourhood,813.227921847247,2018Q1
Horta-Guinardó,7,District,736.735711743772,2018Q1
la Font de la Guatlla,14,Neighbourhood,839.708383561644,2018Q1
Catalunya,-1,Autonomous Community,672.361618216264,2018Q1
la Prosperitat,52,Neighbourhood,634.295833333333,2018Q1
Gràcia,6,District,904.525633020494,2018Q1
Can Baró,34,Neighbourhood,738.117052631579,2018Q1
el Baix Guinardó,33,Neighbourhood,828.803800738007,2018Q1
Vallbona,56,Neighbourhood,613.857142857143,2018Q1
el Camp de l'Arpa del Clot,64,Neighbourhood,785.87609375,2018Q1
la Marina de Port,13,Neighbourhood,751.058941684665,2018Q1
el Besòs i el Maresme,70,Neighbourhood,685.563803827751,2018Q1
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1113.07678832117,2018Q1
el Barri Gòtic,2,Neighbourhood,1024.7837745605,2018Q1
Sants-Montjuïc,3,District,785.082145377558,2018Q1
Sarrià,23,Neighbourhood,1368.50798029557,2018Q1
Sarrià-Sant Gervasi,5,District,1223.17212924606,2018Q1
Nou Barris,8,District,651.925905612245,2018Q1
la Sagrada Família,6,Neighbourhood,883.754934333959,2018Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,801.812943575799,2018Q1
Porta,45,Neighbourhood,675.077267080745,2018Q1
Montbau,40,Neighbourhood,717.775,2018Q1
les Corts,19,Neighbourhood,1002.3423853211,2018Q1
la Bordeta,16,Neighbourhood,785.791926605505,2018Q1
el Putxet i el Farró,27,Neighbourhood,995.374956383822,2018Q1
Sarrià,23,Neighbourhood,1249.23057142857,2018Q1
Ciutat Vella,1,District,875.704773310522,2018Q1
Sants,18,Neighbourhood,826.177,2018Q1
el Turó de la Peira,46,Neighbourhood,676.567421052632,2018Q1
Ciutat Vella,1,District,914.041285001085,2018Q1
la Sagrera,61,Neighbourhood,734.445167785235,2018Q1
la Vila de Gràcia,31,Neighbourhood,899.652791728212,2018Q1
Horta-Guinardó,7,District,746.160671691421,2018Q1
la Dreta de l'Eixample,7,Neighbourhood,1254.58601265823,2018Q1
la Dreta de l'Eixample,7,Neighbourhood,1191.43310661765,2018Q1
la Sagrada Família,6,Neighbourhood,909.586103896104,2018Q1
el Turó de la Peira,46,Neighbourhood,665.361847826087,2018Q1
les Tres Torres,24,Neighbourhood,1599.89140142518,2018Q1
Metropolità de Barcelona,-1,Functional Territorial Area,771.34950783285,2018Q1
la Verneda i la Pau,73,Neighbourhood,740.924699738903,2018Q1
el Clot,65,Neighbourhood,808.902944444444,2018Q1
Sants,18,Neighbourhood,802.637493796526,2018Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,720.902682926829,2018Q1
Barcelona,-1,Municipality,897.891566135121,2018Q1
Provençals del Poblenou,71,Neighbourhood,957.019924242424,2018Q1
Torre Baró,54,Neighbourhood,512.488095238095,2018Q1
el Bon Pastor,59,Neighbourhood,682.812108108108,2018Q1
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,895.695652173913,2018Q1
Porta,45,Neighbourhood,706.254374057315,2018Q1
la Font d'en Fargues,36,Neighbourhood,828.283333333333,2018Q1
Sant Antoni,10,Neighbourhood,899.97774025974,2018Q1
el Raval,1,Neighbourhood,821.84043274244,2018Q1
el Camp de l'Arpa del Clot,64,Neighbourhood,818.660107296138,2018Q1
les Corts,19,Neighbourhood,1039.61221448468,2018Q1
el Baix Guinardó,33,Neighbourhood,832.630807174888,2018Q1
el Carmel,37,Neighbourhood,634.749807692308,2018Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,744.077525083612,2018Q1
la Vila de Gràcia,31,Neighbourhood,915.881857781087,2018Q1
Sarrià-Sant Gervasi,5,District,1268.91501225259,2018Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,916.3068,2018Q1
la Nova Esquerra de l'Eixample,9,Neighbourhood,987.646322795341,2018Q1
el Congrés i els Indians,62,Neighbourhood,774.382288828338,2018Q1
la Guineueta,48,Neighbourhood,714.864956268221,2018Q1
Sant Martí de Provençals,72,Neighbourhood,792.682427983539,2018Q1
Horta,43,Neighbourhood,747.324116743472,2018Q1
Verdun,51,Neighbourhood,630.639006849315,2018Q1
el Congrés i els Indians,62,Neighbourhood,754.088539325843,2018Q1
Verdun,51,Neighbourhood,624.705,2018Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,1284.4290625,2018Q1
la Sagrera,61,Neighbourhood,780.89343220339,2018Q1
la Trinitat Vella,57,Neighbourhood,589.021739130435,2018Q1
Can Baró,34,Neighbourhood,721.461090909091,2018Q1
Les Corts,4,District,1089.52600339414,2018Q1
la Barceloneta,3,Neighbourhood,899.369012048193,2018Q1
Nou Barris,8,District,674.590461672474,2018Q1
la Salut,30,Neighbourhood,815.622527472528,2018Q1
Sant Gervasi - Galvany,26,Neighbourhood,1347.83939003917,2018Q1
Canyelles,49,Neighbourhood,714.682857142857,2018Q1
la Trinitat Vella,57,Neighbourhood,586.476264367816,2018Q1
la Vall d'Hebron,41,Neighbourhood,874.2,2018Q1
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,937.547708333333,2018Q1
Barcelona,-1,Municipality,929.567599207831,2018Q1
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1085.34358353511,2018Q1
la Font de la Guatlla,14,Neighbourhood,842.319587628866,2018Q1
la Prosperitat,52,Neighbourhood,665.590978647687,2018Q1
Metropolità de Barcelona,-1,Functional Territorial Area,800.681609649738,2018Q1
el Raval,1,Neighbourhood,792.744444444444,2018Q1
les Tres Torres,24,Neighbourhood,1613.41417475728,2018Q1
Eixample,2,District,1038.37970555025,2018Q1
Horta,43,Neighbourhood,742.511166666667,2018Q2
la Sagrera,61,Neighbourhood,798.390055248619,2018Q2
Verdun,51,Neighbourhood,628.798857142857,2018Q2
Sarrià,23,Neighbourhood,1332.32647058824,2018Q2
Navas,63,Neighbourhood,797.798461538462,2018Q2
Ciutat Meridiana,55,Neighbourhood,491.842105263158,2018Q2
Provençals del Poblenou,71,Neighbourhood,913.6619,2018Q2
Ciutat Vella,1,District,923.71794657763,2018Q2
el Clot,65,Neighbourhood,815.822275132275,2018Q2
el Raval,1,Neighbourhood,820.879833333333,2018Q2
la Maternitat i Sant Ramon,20,Neighbourhood,959.259559748428,2018Q2
Sant Genís dels Agudells,39,Neighbourhood,646.833333333333,2018Q2
el Carmel,37,Neighbourhood,637.170049019608,2018Q2
el Congrés i els Indians,62,Neighbourhood,751.162526315789,2018Q2
Vallcarca i els Penitents,28,Neighbourhood,939.032196969697,2018Q2
el Putxet i el Farró,27,Neighbourhood,972.89107936508,2018Q2
Sant Andreu,9,District,755.398867924528,2018Q2
Metropolità de Barcelona,-1,Functional Territorial Area,787.02855294197,2018Q2
la Font d'en Fargues,36,Neighbourhood,756.71875,2018Q2
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,788.231421052632,2018Q2
el Fort Pienc,5,Neighbourhood,942.962559726962,2018Q2
la Font de la Guatlla,14,Neighbourhood,834.684210526316,2018Q2
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,860.127857142857,2018Q2
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,885.403780160858,2018Q2
Porta,45,Neighbourhood,713.939390862944,2018Q2
la Guineueta,48,Neighbourhood,724.251553398058,2018Q2
el Turó de la Peira,46,Neighbourhood,668.159158878505,2018Q2
la Verneda i la Pau,73,Neighbourhood,719.5453125,2018Q2
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1198.76982300885,2018Q2
Sants-Montjuïc,3,District,786.60325203252,2018Q2
la Salut,30,Neighbourhood,883.520540540541,2018Q2
Montbau,40,Neighbourhood,716.176470588235,2018Q2
les Tres Torres,24,Neighbourhood,1467.06917431193,2018Q2
Sarrià-Sant Gervasi,5,District,1241.53969230769,2018Q2
Sant Martí,10,District,900.05409912927,2018Q2
el Poblenou,68,Neighbourhood,960.987546468401,2018Q2
Torre Baró,54,Neighbourhood,434.52,2018Q2
la Dreta de l'Eixample,7,Neighbourhood,1263.07512820513,2018Q2
Vilapicina i la Torre Llobeta,44,Neighbourhood,726.889827586207,2018Q2
Les Corts,4,District,1046.44782527881,2018Q2
Sant Martí de Provençals,72,Neighbourhood,797.538604651163,2018Q2
la Vila Olímpica del Poblenou,67,Neighbourhood,1288.91379310345,2018Q2
Sants,18,Neighbourhood,811.739393939394,2018Q2
el Baix Guinardó,33,Neighbourhood,817.383839285714,2018Q2
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1078.12671153846,2018Q2
la Sagrada Família,6,Neighbourhood,893.425742574257,2018Q2
Canyelles,49,Neighbourhood,661.875,2018Q2
el Bon Pastor,59,Neighbourhood,687.551923076923,2018Q2
la Teixonera,38,Neighbourhood,682.443783783784,2018Q2
Gràcia,6,District,897.203560209424,2018Q2
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,991.386405797101,2018Q2
el Guinardó,35,Neighbourhood,758.612867647059,2018Q2
Catalunya,-1,Autonomous Community,688.557789437349,2018Q2
la Marina de Port,13,Neighbourhood,719.329243697479,2018Q2
el Camp de l'Arpa del Clot,64,Neighbourhood,806.972991913747,2018Q2
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1371.14426470588,2018Q2
Sant Gervasi - Galvany,26,Neighbourhood,1328.14338947368,2018Q2
Sant Andreu,60,Neighbourhood,752.659164086687,2018Q2
Nou Barris,8,District,670.290788126919,2018Q2
la Bordeta,16,Neighbourhood,757.25786407767,2018Q2
Horta-Guinardó,7,District,734.157679932261,2018Q2
Barcelona,-1,Municipality,916.331790520772,2018Q2
Eixample,2,District,1022.4309122807,2018Q2
les Corts,19,Neighbourhood,1038.73389048991,2018Q2
Sant Antoni,10,Neighbourhood,907.422519893899,2018Q2
Pedralbes,21,Neighbourhood,1563.3125,2018Q2
Hostafrancs,15,Neighbourhood,801.369247311828,2018Q2
el Coll,29,Neighbourhood,716.253859649123,2018Q2
la Prosperitat,52,Neighbourhood,657.429096385542,2018Q2
el Besòs i el Maresme,70,Neighbourhood,649.1691,2018Q2
la Vall d'Hebron,41,Neighbourhood,864.722222222222,2018Q2
la Barceloneta,3,Neighbourhood,923.449561403509,2018Q2
la Vila de Gràcia,31,Neighbourhood,913.337424698795,2018Q2
la Trinitat Nova,53,Neighbourhood,574.148611111111,2018Q2
la Nova Esquerra de l'Eixample,9,Neighbourhood,975.528522167487,2018Q2
Can Baró,34,Neighbourhood,737.382716049383,2018Q2
la Trinitat Vella,57,Neighbourhood,598.294117647059,2018Q2
les Roquetes,50,Neighbourhood,575.714285714286,2018Q2
Sant Gervasi - la Bonanova,25,Neighbourhood,1288.8211965812,2018Q2
Sants - Badal,17,Neighbourhood,755.293538461538,2018Q2
el Barri Gòtic,2,Neighbourhood,1024.28656370656,2018Q2
Sant Gervasi - Galvany,26,Neighbourhood,1374.31950113379,2018Q3
Navas,63,Neighbourhood,823.739338842975,2018Q3
Hostafrancs,15,Neighbourhood,814.554466666667,2018Q3
el Baix Guinardó,33,Neighbourhood,839.472962962963,2018Q3
la Prosperitat,52,Neighbourhood,667.716535433071,2018Q3
Catalunya,-1,Autonomous Community,717.800717768148,2018Q3
el Bon Pastor,59,Neighbourhood,693.691904761905,2018Q3
Can Baró,34,Neighbourhood,766.818181818182,2018Q3
Vallcarca i els Penitents,28,Neighbourhood,905.822130177515,2018Q3
el Turó de la Peira,46,Neighbourhood,682.674193548387,2018Q3
Ciutat Meridiana,55,Neighbourhood,514.342857142857,2018Q3
la Marina de Port,13,Neighbourhood,755.184122807018,2018Q3
el Camp de l'Arpa del Clot,64,Neighbourhood,827.446971428571,2018Q3
el Guinardó,35,Neighbourhood,797.838099173554,2018Q3
Sant Andreu,60,Neighbourhood,777.060630914826,2018Q3
la Guineueta,48,Neighbourhood,732.858452380952,2018Q3
Sant Andreu,9,District,775.282541087231,2018Q3
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1136.20980357143,2018Q3
la Trinitat Vella,57,Neighbourhood,597.931034482759,2018Q3
el Parc i la Llacuna del Poblenou,66,Neighbourhood,897.667448979592,2018Q3
la Vall d'Hebron,41,Neighbourhood,822.307692307692,2018Q3
la Teixonera,38,Neighbourhood,705.600595238095,2018Q3
Horta,43,Neighbourhood,754.534965986395,2018Q3
Verdun,51,Neighbourhood,618.908611111111,2018Q3
Montbau,40,Neighbourhood,763.815789473684,2018Q3
Metropolità de Barcelona,-1,Functional Territorial Area,822.268440924379,2018Q3
la Nova Esquerra de l'Eixample,9,Neighbourhood,1003.88518053375,2018Q3
Sants - Badal,17,Neighbourhood,786.80475,2018Q3
la Barceloneta,3,Neighbourhood,889.235294117647,2018Q3
Sarrià,23,Neighbourhood,1443.70964757709,2018Q3
la Vila de Gràcia,31,Neighbourhood,923.393157076206,2018Q3
el Besòs i el Maresme,70,Neighbourhood,699.056330275229,2018Q3
Eixample,2,District,1049.36540020612,2018Q3
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,818.553176470587,2018Q3
la Trinitat Nova,53,Neighbourhood,584.72972972973,2018Q3
Gràcia,6,District,910.057573872473,2018Q3
Sants-Montjuïc,3,District,824.058249468462,2018Q3
Sant Antoni,10,Neighbourhood,970.25844783715,2018Q3
Vilapicina i la Torre Llobeta,44,Neighbourhood,742.817465753425,2018Q3
Horta-Guinardó,7,District,762.608866855524,2018Q3
la Bordeta,16,Neighbourhood,830.324561403509,2018Q3
Porta,45,Neighbourhood,712.116578947368,2018Q3
les Tres Torres,24,Neighbourhood,1746.00972972973,2018Q3
la Vila Olímpica del Poblenou,67,Neighbourhood,1284.3,2018Q3
Barcelona,-1,Municipality,948.856173899939,2018Q3
Les Corts,4,District,1142.15862170088,2018Q3
Canyelles,49,Neighbourhood,715.454545454545,2018Q3
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,1102.29166666667,2018Q3
el Clot,65,Neighbourhood,815.103865030675,2018Q3
la Font d'en Fargues,36,Neighbourhood,876.583720930233,2018Q3
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,822.042877094972,2018Q3
la Salut,30,Neighbourhood,870.313820224719,2018Q3
les Corts,19,Neighbourhood,1077.99141791045,2018Q3
el Poblenou,68,Neighbourhood,1006.81472803347,2018Q3
el Coll,29,Neighbourhood,756.355892857143,2018Q3
Sant Gervasi - la Bonanova,25,Neighbourhood,1322.61128888889,2018Q3
Ciutat Vella,1,District,920.394422158548,2018Q3
la Verneda i la Pau,73,Neighbourhood,767.099693877551,2018Q3
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,970.974820143885,2018Q3
la Font de la Guatlla,14,Neighbourhood,871.410459770115,2018Q3
Sant Martí de Provençals,72,Neighbourhood,803.490353982301,2018Q3
la Dreta de l'Eixample,7,Neighbourhood,1216.70135687732,2018Q3
les Roquetes,50,Neighbourhood,638.139821428572,2018Q3
Sants,18,Neighbourhood,856.572216494845,2018Q3
el Putxet i el Farró,27,Neighbourhood,1021.27197492163,2018Q3
el Barri Gòtic,2,Neighbourhood,1012.48539473684,2018Q3
la Maternitat i Sant Ramon,20,Neighbourhood,1013.27766990291,2018Q3
el Carmel,37,Neighbourhood,654.767,2018Q3
Pedralbes,21,Neighbourhood,1849.51932432432,2018Q3
Nou Barris,8,District,680.882442284326,2018Q3
el Congrés i els Indians,62,Neighbourhood,787.78021978022,2018Q3
Sant Martí,10,District,866.121352785146,2018Q3
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,924.814801223242,2018Q3
Provençals del Poblenou,71,Neighbourhood,928.01813559322,2018Q3
el Fort Pienc,5,Neighbourhood,968.847292307692,2018Q3
la Sagrera,61,Neighbourhood,783.090053763441,2018Q3
Sarrià-Sant Gervasi,5,District,1319.54890126206,2018Q3
la Sagrada Família,6,Neighbourhood,934.886593886463,2018Q3
Sant Genís dels Agudells,39,Neighbourhood,660.925925925926,2018Q3
el Raval,1,Neighbourhood,849.320811403509,2018Q3
Hostafrancs,15,Neighbourhood,810.995030674847,2018Q4
Sant Antoni,10,Neighbourhood,960.296134453781,2018Q4
Eixample,2,District,1086.03075328265,2018Q4
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1000.5223782235,2018Q4
Sants - Badal,17,Neighbourhood,831.194564102564,2018Q4
Catalunya,-1,Autonomous Community,715.457798160573,2018Q4
la Vila Olímpica del Poblenou,67,Neighbourhood,1292.22672413793,2018Q4
Sant Gervasi - Galvany,26,Neighbourhood,1374.82417021277,2018Q4
el Guinardó,35,Neighbourhood,796.353010752688,2018Q4
la Sagrera,61,Neighbourhood,798.31703125,2018Q4
Sarrià-Sant Gervasi,5,District,1286.50168109668,2018Q4
Sant Andreu,60,Neighbourhood,782.148195266272,2018Q4
Can Baró,34,Neighbourhood,727.048192771084,2018Q4
el Bon Pastor,59,Neighbourhood,696.0565,2018Q4
Navas,63,Neighbourhood,840.009044585987,2018Q4
la Font de la Guatlla,14,Neighbourhood,810.242441860466,2018Q4
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,813.741653333333,2018Q4
Sants-Montjuïc,3,District,819.472839590444,2018Q4
Provençals del Poblenou,71,Neighbourhood,999.627604166667,2018Q4
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,898.333333333333,2018Q4
el Barri Gòtic,2,Neighbourhood,1057.25630188679,2018Q4
les Corts,19,Neighbourhood,1031.45547222222,2018Q4
la Marina de Port,13,Neighbourhood,778.515677966102,2018Q4
la Teixonera,38,Neighbourhood,721.229764705882,2018Q4
les Tres Torres,24,Neighbourhood,1567.90816326531,2018Q4
Sant Gervasi - la Bonanova,25,Neighbourhood,1283.24326530612,2018Q4
el Clot,65,Neighbourhood,835.546882352941,2018Q4
Horta-Guinardó,7,District,752.569171752398,2018Q4
el Camp de l'Arpa del Clot,64,Neighbourhood,851.577198879552,2018Q4
la Barceloneta,3,Neighbourhood,913.196930693069,2018Q4
la Trinitat Vella,57,Neighbourhood,564.559791666667,2018Q4
el Raval,1,Neighbourhood,827.268075313807,2018Q4
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1164.32251760563,2018Q4
la Prosperitat,52,Neighbourhood,698.076510067114,2018Q4
la Vall d'Hebron,41,Neighbourhood,876.645161290323,2018Q4
Barcelona,-1,Municipality,954.286225457754,2018Q4
Sant Genís dels Agudells,39,Neighbourhood,666.908474576271,2018Q4
el Turó de la Peira,46,Neighbourhood,692.052272727273,2018Q4
Sant Andreu,9,District,781.71319221968,2018Q4
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1307.79023809524,2018Q4
la Font d'en Fargues,36,Neighbourhood,840.51724137931,2018Q4
Porta,45,Neighbourhood,723.342679738562,2018Q4
la Maternitat i Sant Ramon,20,Neighbourhood,960.029784946236,2018Q4
la Sagrada Família,6,Neighbourhood,930.023596837944,2018Q4
Metropolità de Barcelona,-1,Functional Territorial Area,822.875468727988,2018Q4
Sants,18,Neighbourhood,834.639454094293,2018Q4
el Carmel,37,Neighbourhood,653.207157894737,2018Q4
Sarrià,23,Neighbourhood,1422.79825242718,2018Q4
Canyelles,49,Neighbourhood,774.375,2018Q4
Ciutat Meridiana,55,Neighbourhood,514.516129032258,2018Q4
Vallcarca i els Penitents,28,Neighbourhood,971.512814814815,2018Q4
la Nova Esquerra de l'Eixample,9,Neighbourhood,1017.55951456311,2018Q4
el Fort Pienc,5,Neighbourhood,983.096053639847,2018Q4
Nou Barris,8,District,694.115453488372,2018Q4
Pedralbes,21,Neighbourhood,1615.30945454545,2018Q4
la Dreta de l'Eixample,7,Neighbourhood,1340.3772260274,2018Q4
Verdun,51,Neighbourhood,649.224736842105,2018Q4
Baró de Viver,58,Neighbourhood,673.691428571429,2018Q4
la Salut,30,Neighbourhood,930.091523809524,2018Q4
el Coll,29,Neighbourhood,748.9012,2018Q4
les Roquetes,50,Neighbourhood,595.808823529412,2018Q4
la Trinitat Nova,53,Neighbourhood,575.380333333333,2018Q4
Vilapicina i la Torre Llobeta,44,Neighbourhood,782.94935483871,2018Q4
Horta,43,Neighbourhood,745.350239520958,2018Q4
la Guineueta,48,Neighbourhood,708.411182795699,2018Q4
la Verneda i la Pau,73,Neighbourhood,756.097547169811,2018Q4
el Congrés i els Indians,62,Neighbourhood,804.738913043478,2018Q4
el Baix Guinardó,33,Neighbourhood,827.04209039548,2018Q4
Sant Martí,10,District,913.916514945652,2018Q4
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,945.813753943218,2018Q4
el Poblenou,68,Neighbourhood,970.637363013699,2018Q4
Ciutat Vella,1,District,936.313713327745,2018Q4
Montbau,40,Neighbourhood,750.952380952381,2018Q4
Sant Martí de Provençals,72,Neighbourhood,823.464912280702,2018Q4
la Vila de Gràcia,31,Neighbourhood,927.059658119658,2018Q4
Les Corts,4,District,1062.78124792013,2018Q4
el Besòs i el Maresme,70,Neighbourhood,711.671340206186,2018Q4
la Bordeta,16,Neighbourhood,825.355322580645,2018Q4
el Putxet i el Farró,27,Neighbourhood,1031.54026011561,2018Q4
Gràcia,6,District,929.623941940413,2018Q4
el Parc i la Llacuna del Poblenou,66,Neighbourhood,938.589081632653,2018Q4
